frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
48,1.000000,-2.124361,-5.513163,-0.897400,-5.512970,1.914011,-5.272342,3.136482,-5.272344,4.354860,-5.273422
49,1.020833,-2.095996,-5.511899,-0.867635,-5.511623,2.099031,-5.221113,3.322383,-5.220859,4.541459,-5.221847
50,1.041667,-2.068338,-5.510563,-0.838591,-5.510195,2.278612,-5.166472,3.502829,-5.165919,4.722599,-5.166781
51,1.062500,-2.041436,-5.509166,-0.810321,-5.508697,2.452431,-5.108866,3.677493,-5.107975,4.897951,-5.108672
52,1.083333,-2.015338,-5.507718,-0.782874,-5.507140,2.620200,-5.048755,3.846085,-5.047488,5.067223,-5.047987
53,1.104167,-1.990091,-5.506231,-0.756300,-5.505536,2.781662,-4.986613,4.008347,-4.984936,5.230155,-4.985203
54,1.125000,-1.965739,-5.504715,-0.730645,-5.503899,2.936597,-4.922918,4.164058,-4.920802,5.386524,-4.920808
55,1.145833,-1.942324,-5.503183,-0.705954,-5.502240,3.084818,-4.858155,4.313028,-4.855574,5.536138,-4.855289
56,1.166667,-1.919889,-5.501647,-0.682270,-5.500572,3.226169,-4.792808,4.455101,-4.789738,5.678841,-4.789138
57,1.187500,-1.898470,-5.500117,-0.659635,-5.498907,3.360523,-4.727354,4.590151,-4.723777,5.814503,-4.722838
58,1.208333,-1.878106,-5.498605,-0.638087,-5.497259,3.487783,-4.662264,4.718079,-4.658166,5.943029,-4.656868
59,1.229167,-1.858831,-5.497123,-0.617664,-5.495639,3.607879,-4.598000,4.838815,-4.593369,6.064344,-4.591694
60,1.250000,-1.840678,-5.495682,-0.598399,-5.494059,3.720763,-4.535008,4.952311,-4.529835,6.178403,-4.527769
61,1.270833,-1.823677,-5.494292,-0.580326,-5.492532,3.826408,-4.473716,5.058543,-4.467999,6.285180,-4.465530
62,1.291667,-1.807856,-5.492964,-0.563474,-5.491069,3.924809,-4.414536,5.157503,-4.408274,6.384668,-4.405394
63,1.312500,-1.793242,-5.491707,-0.547871,-5.489680,4.015972,-4.357859,5.249201,-4.351055,6.476878,-4.347756
64,1.333333,-1.779858,-5.490530,-0.533542,-5.488375,4.099922,-4.304049,5.333662,-4.296711,6.561833,-4.292990
65,1.354167,-1.767727,-5.489443,-0.520512,-5.487165,4.176691,-4.253451,5.410919,-4.245587,6.639568,-4.241444
66,1.375000,-1.756866,-5.488453,-0.508799,-5.486058,4.246321,-4.206380,5.481016,-4.198004,6.710128,-4.193441
67,1.395833,-1.747293,-5.487567,-0.498423,-5.485061,4.308860,-4.163126,5.544001,-4.154253,6.773562,-4.149274
68,1.416667,-1.739023,-5.486792,-0.489400,-5.484183,4.364359,-4.123951,5.599928,-4.114600,6.829923,-4.109211
69,1.437500,-1.732067,-5.486133,-0.481742,-5.483429,4.412870,-4.089087,5.648849,-4.079279,6.879267,-4.073491
70,1.458333,-1.726435,-5.485595,-0.475460,-5.482805,4.454447,-4.058738,5.690820,-4.048497,6.921647,-4.042320
71,1.479167,-1.722135,-5.485181,-0.470563,-5.482314,4.489139,-4.033078,5.725891,-4.022431,6.957117,-4.015879
72,1.500000,-1.719171,-5.484894,-0.467057,-5.481961,4.516993,-4.012252,5.754110,-4.001226,6.985726,-3.994315
73,1.520833,-1.717546,-5.484736,-0.464945,-5.481747,4.538052,-3.996373,5.775520,-3.984998,7.007516,-3.977746
74,1.541667,-1.717259,-5.484708,-0.464227,-5.481675,4.552350,-3.985525,5.790159,-3.973834,7.022525,-3.966260
75,1.562500,-1.718310,-5.484810,-0.464903,-5.481743,4.559917,-3.979762,5.798055,-3.967788,7.030785,-3.959914
76,1.583333,-1.720693,-5.485041,-0.466967,-5.481952,4.560776,-3.979107,5.799233,-3.966885,7.032318,-3.958734
77,1.604167,-1.724400,-5.485399,-0.470414,-5.482299,4.554942,-3.983553,5.793706,-3.971120,7.027140,-3.962716
78,1.625000,-1.729423,-5.485881,-0.475235,-5.482782,4.542421,-3.993064,5.781484,-3.980457,7.015260,-3.971827
79,1.645833,-1.735751,-5.486483,-0.481417,-5.483397,4.523215,-4.007572,5.762566,-3.994831,6.996678,-3.986003
80,1.666667,-1.743368,-5.487201,-0.488948,-5.484139,4.497318,-4.026984,5.736946,-4.014148,6.971388,-4.005149
81,1.687500,-1.752258,-5.488028,-0.497810,-5.485002,4.464719,-4.051172,5.704614,-4.038282,6.939379,-4.029143
82,1.708333,-1.762404,-5.488960,-0.507986,-5.485980,4.425401,-4.079986,5.665552,-4.067082,6.900633,-4.057833
83,1.729167,-1.773784,-5.489989,-0.519454,-5.487066,4.379345,-4.113243,5.619741,-4.100367,6.855130,-4.091040
84,1.750000,-1.786375,-5.491106,-0.532192,-5.488251,4.326531,-4.150734,5.567158,-4.137928,6.802847,-4.128555
85,1.770833,-1.800152,-5.492305,-0.546173,-5.489527,4.266937,-4.192225,5.507780,-4.179530,6.743761,-4.170144
86,1.791667,-1.815088,-5.493575,-0.561370,-5.490884,4.200544,-4.237454,5.441588,-4.224911,6.677850,-4.215546
87,1.812500,-1.831154,-5.494908,-0.577753,-5.492311,4.127336,-4.286136,5.368563,-4.273785,6.605096,-4.264474
88,1.833333,-1.848317,-5.496294,-0.595291,-5.493800,4.047302,-4.337960,5.288694,-4.325843,6.525485,-4.316620
89,1.854167,-1.866546,-5.497722,-0.613948,-5.495338,3.960442,-4.392597,5.201976,-4.380752,6.439012,-4.371649
90,1.875000,-1.885803,-5.499183,-0.633690,-5.496915,3.866763,-4.449693,5.108418,-4.438158,6.345682,-4.429210
91,1.895833,-1.906054,-5.500666,-0.654477,-5.498518,3.766287,-4.508877,5.008036,-4.497688,6.245512,-4.488927
